,0,1
said,39982,multiple
that,21615,multiple
is,19754,multiple
be,14780,multiple
internet,1576,multiple
by,14538,multiple
with,15764,multiple
it,19173,multiple
would,10350,multiple
but,11517,multiple
have,10764,multiple
as,13558,multiple
banks,1829,multiple
from,12492,multiple
not,9570,multiple
will,11715,multiple
are,10241,multiple
an,9251,multiple
we,8274,multiple
companies,3499,multiple
new,6843,multiple
congress,457,multiple
encryption,201,multiple
has,11305,multiple
administration,383,multiple
this,7509,multiple
committee,640,multiple
some,4333,multiple
export,673,multiple
banking,1055,multiple
they,7007,multiple
more,5861,multiple
under,2091,multiple
credit,626,multiple
one,5645,multiple
plan,1305,multiple
year,8918,multiple
financial,2359,multiple
was,13673,multiple
he,12208,multiple
which,9534,multiple
other,3666,multiple
also,5438,multiple
could,3988,multiple
federal,616,multiple
their,4434,multiple
government,3568,multiple
should,1872,multiple
bill,588,multiple
bank,3445,multiple
securities,1289,multiple
insurance,785,multiple
its,14181,multiple
commerce,328,multiple
percent,10762,multiple
most,2310,multiple
policy,733,multiple
about,5185,multiple
last,4949,multiple
software,1205,multiple
u.s.,4185,multiple
firms,984,multiple
key,1109,multiple
if,3435,multiple
such,2072,multiple
who,3957,multiple
computer,1385,multiple
information,764,multiple
over,4342,multiple
products,1503,multiple
had,7444,multiple
industry,3467,multiple
were,6588,multiple
access,809,multiple
up,5976,multiple
fed,107,multiple
law,911,multiple
all,2841,multiple
online,603,multiple
clinton,307,multiple
rules,600,multiple
while,2564,multiple
communications,1022,multiple
group,3794,multiple
allow,661,multiple
president,1694,multiple
use,1069,multiple
allowing,278,multiple
court,847,multiple
two,3897,multiple
out,3248,multiple
network,1036,multiple
commercial,668,multiple
only,2063,multiple
been,5836,multiple
than,4491,multiple
can,2606,multiple
house,565,multiple
proposal,356,multiple
services,1726,multiple
association,394,multiple
legislation,205,multiple
company,7496,multiple
web,331,multiple
international,1844,multiple
system,1410,multiple
laws,431,multiple
issue,979,multiple
chairman,1759,multiple
market,6430,multiple
director,1057,multiple
consumers,464,multiple
there,4184,multiple
names,294,multiple
added,1979,multiple
may,2207,multiple
after,5014,multiple
time,2170,multiple
act,292,multiple
rubin,54,multiple
million,9815,multiple
when,2858,multiple
--,5726,multiple
data,623,multiple
department,536,multiple
officials,1873,multiple
society,249,multiple
business,3785,multiple
recovery,269,multiple
i,3887,multiple
people,2731,multiple
now,2561,multiple
many,1838,multiple
members,954,multiple
service,1536,multiple
already,1469,multiple
technology,1024,multiple
allowed,405,multiple
commission,759,multiple
report,1188,multiple
national,1361,multiple
like,1330,multiple
no,2901,multiple
still,2044,multiple
republican,108,multiple
reform,300,multiple
