,count,author
202-898-8312,30,AaronPressman
domains,30,AaronPressman
cftc,30,AaronPressman
similiar,26,AaronPressman
glass-steagall,23,AaronPressman
comptroller,17,AaronPressman
reinsch,17,AaronPressman
goodlatte,17,AaronPressman
staffer,14,AaronPressman
roukema,14,AaronPressman
ncua,12,AaronPressman
volcker,11,AaronPressman
faircloth,10,AaronPressman
ludwig,10,AaronPressman
sen,9,AaronPressman
marge,9,AaronPressman
telage,9,AaronPressman
eckert,9,AaronPressman
mierzwinski,8,AaronPressman
litan,8,AaronPressman
selwyn,8,AaronPressman
dryden,8,AaronPressman
seiger,7,AaronPressman
rep,7,AaronPressman
parenty,7,AaronPressman
non-customers,7,AaronPressman
petrou,7,AaronPressman
larocco,7,AaronPressman
trademarked,7,AaronPressman
herndon,7,AaronPressman
libertarians,7,AaronPressman
gramm,6,AaronPressman
alfonse,6,AaronPressman
katzen,6,AaronPressman
reisner,6,AaronPressman
schrader,6,AaronPressman
same-old,6,AaronPressman
fasb,5,AaronPressman
brookings,5,AaronPressman
harter,5,AaronPressman
designations,5,AaronPressman
edu,5,AaronPressman
off-exchange,5,AaronPressman
non-banking,5,AaronPressman
mae,4,AaronPressman
pro-code,4,AaronPressman
jonah,4,AaronPressman
vento,4,AaronPressman
stored-value,4,AaronPressman
jung,4,AaronPressman
isd/shaw,4,AaronPressman
hyland,4,AaronPressman
permissible,4,AaronPressman
powers-king,4,AaronPressman
org,4,AaronPressman
candyland.com,4,AaronPressman
nude,4,AaronPressman
self-governance,4,AaronPressman
registrars,4,AaronPressman
burrington,4,AaronPressman
56-bit,4,AaronPressman
criminalize,4,AaronPressman
decoding,4,AaronPressman
ducked,4,AaronPressman
boorman,4,AaronPressman
mtv.com,4,AaronPressman
minear,4,AaronPressman
larocca,4,AaronPressman
werbach,4,AaronPressman
karn,4,AaronPressman
gender,3,AaronPressman
luker,3,AaronPressman
varian,3,AaronPressman
matrix,3,AaronPressman
query,3,AaronPressman
kyl,3,AaronPressman
freeh,3,AaronPressman
aba,3,AaronPressman
creditmetrics,3,AaronPressman
sarbanes,3,AaronPressman
affiliations,3,AaronPressman
internet2,3,AaronPressman
nonfinancial,3,AaronPressman
controversey,3,AaronPressman
bank-like,3,AaronPressman
co-chair,3,AaronPressman
rivlin,3,AaronPressman
reintroduce,3,AaronPressman
nader,3,AaronPressman
net-savvy,3,AaronPressman
r-pa.,3,AaronPressman
pro-internet,3,AaronPressman
mcintyre,3,AaronPressman
multicasting,2,AaronPressman
sinha,2,AaronPressman
mark-up,2,AaronPressman
parra,2,AaronPressman
exon,2,AaronPressman
eshoo,2,AaronPressman
mann,2,AaronPressman
weissman,2,AaronPressman
ruskin,2,AaronPressman
assortment,2,AaronPressman
revives,2,AaronPressman
baucus,2,AaronPressman
leaning,2,AaronPressman
rotenberg,2,AaronPressman
interagency,2,AaronPressman
criminalizing,2,AaronPressman
gouging,2,AaronPressman
higer,2,AaronPressman
surcharging,2,AaronPressman
viginia,2,AaronPressman
helfer,2,AaronPressman
life-support,2,AaronPressman
r.-iowa,2,AaronPressman
baltimore-based,2,AaronPressman
permissable,2,AaronPressman
steagall,2,AaronPressman
slackers,2,AaronPressman
emmett,2,AaronPressman
paige,2,AaronPressman
inspects,2,AaronPressman
appropriated,2,AaronPressman
defence-related,2,AaronPressman
endorsements,2,AaronPressman
clough,2,AaronPressman
denninger,2,AaronPressman
snooping,2,AaronPressman
medium-strength,2,AaronPressman
safdar,2,AaronPressman
signers,2,AaronPressman
delahunt,2,AaronPressman
criminalization,2,AaronPressman
upstage,2,AaronPressman
decrypt,2,AaronPressman
affiliating,2,AaronPressman
gibbons,2,AaronPressman
strawn,2,AaronPressman
peddlers,2,AaronPressman
runkel,2,AaronPressman
climo,2,AaronPressman
crone,2,AaronPressman
brobeck,2,AaronPressman
yingling,2,AaronPressman
fortuna,2,AaronPressman
nine-member,2,AaronPressman
proviso,2,AaronPressman
reexamine,2,AaronPressman
architecure,2,AaronPressman
rosenoer,2,AaronPressman
subjecting,2,AaronPressman
moot,2,AaronPressman
lugar,2,AaronPressman
1922,2,AaronPressman
cyber-activities,2,AaronPressman
internet-only,2,AaronPressman
"1,032",2,AaronPressman
steele,2,AaronPressman
government-mandated,2,AaronPressman
encryption-capable,2,AaronPressman
vandalised,2,AaronPressman
elgan,2,AaronPressman
qualifed,2,AaronPressman
iahc,2,AaronPressman
//www.iahc.org,2,AaronPressman
discovers,2,AaronPressman
pryor,2,AaronPressman
crotty,2,AaronPressman
'problem,2,AaronPressman
anecdotally,2,AaronPressman
'congestion,2,AaronPressman
'meltdown,2,AaronPressman
inexpensively,2,AaronPressman
bragged,2,AaronPressman
telecommuting,2,AaronPressman
switchs,2,AaronPressman
hang-up,2,AaronPressman
guenther,2,AaronPressman
data-scrambling,2,AaronPressman
reconciling,2,AaronPressman
stifles,2,AaronPressman
solace,2,AaronPressman
nom,2,AaronPressman
albertalli,2,AaronPressman
bracewell,2,AaronPressman
encyrption,2,AaronPressman
occ,2,AaronPressman
drexel,2,AaronPressman
frawley,2,AaronPressman
multi-group,2,AaronPressman
raisler,2,AaronPressman
market-sensitive,1,AaronPressman
paired,1,AaronPressman
non-white,1,AaronPressman
leesburg,1,AaronPressman
brimming,1,AaronPressman
outstripping,1,AaronPressman
interchanges,1,AaronPressman
brute,1,AaronPressman
caching,1,AaronPressman
duplicates,1,AaronPressman
